Description,Assignment group,Target
login issue verify user detail employee and manager name check the user name in ad and reset the password advise the user to login and check caller confirm that be able to login issue resolve,GRP_0,0
outlook hello team meeting skype meeting etc be not appear in outlook calendar can somebody please advise how to correct this kind,GRP_0,0
can not log in to vpn hi can not log on to vpn best,GRP_0,0
unable to access hr tool page unable to access hr tool page,GRP_0,0
skype error skype error,GRP_0,0
unable to log in to engineering tool and skype unable to log in to engineering tool and skype,GRP_0,0
event critical hostname company com the value of mountpoint threshold for oracle sid erpdata event critical hostname company com the value of mountpoint threshold for oracle sid erpdata srpsad srpsad datum perpsrpsad be,GRP_A,15
ticket no employment status new non employee enter user name ticket no employment status new non employee enter user name,GRP_0,0
unable to disable add in on outlook unable to disable add in on outlook,GRP_0,0
ticket update on inplant ticket update on inplant,GRP_0,0
engineering tool say not connect and unable to submit report engineering tool say not connect and unable to submit report,GRP_0,0
hr tool site not load page correctly hr tool site not load page correctly,GRP_0,0
unable to login to hr tool to sgxqsuojr xwbesorf cards unable to login to hr tool to sgxqsuojr xwbesorf cards,GRP_0,0
user want to reset the password user want to reset the password,GRP_0,0
unable to open payslip unable to open payslip,GRP_0,0
ticket update on inplant ticket update on inplant,GRP_0,0
unable to login to company vpn hi be unable to login to company vpn website try to open new session use the below link but not able to get through pls help urgently as be work from home tomorrow due to month end closing,GRP_0,0
when undocking pc screen will not come back when undocking pc screen will not come back,GRP_3,9
erp sid account lock erp sid account lock,GRP_0,0
unable to sign into vpn unable to sign into vpn,GRP_0,0
unable to check payslip unable to check payslip,GRP_0,0
vpn issue hello helpdesk be not able to connect vpn from home office couple hour ago be connect now be not work anymore get message that session expire but if click on the link nothing happen need help with dynamic crm click here chat with live agent regard dynamic crm question now click here best,GRP_0,0
unable to connect to vpn unable to connect to vpn,GRP_0,0
user call for vendor phone number user call for vendor phone number,GRP_0,0
vpn not work hello m not be able to connect to company network through the vpn pls check sir be not be able to upload as result of no company network,GRP_0,0
erp sid password reset erp sid password reset,GRP_0,0
unable to login to hr tool to check payslip unable to login to hr tool to check payslip,GRP_0,0
account lock out account lock out,GRP_0,0
unable to login to hr tool unable to login to hr tool,GRP_0,0
unable to log in to erp sid unable to log in to erp sid,GRP_0,0
password reset for collaboration platform password reset for collaboration platform,GRP_0,0
reset user hi please reset user password client would username xyz,GRP_0,0
duplication of network address gentle have two device that be try to share an ip address be try to share one be printer with the hostname of prtjc and the other be new display for erp the display be use dhcp to get address assign and the printer be hard code guess be that the address do not get set to static address in dhcp need this correct so the display will pick up another address,GRP_A,15
ess password reset ess password reset,GRP_0,0
unable to install flash player unable to install flash player,GRP_0,0
ticket no employment status new non employee ticket no employment status new non employee,GRP_0,0
erp sid account unlock and password reset erp sid account unlock and password reset,GRP_0,0
unable to resolve ticket no assign to self the status button be dierppeare after few second,GRP_0,0
instal engineering tool need to install engineering tool on the pc,GRP_0,0
call for call for,GRP_0,0
ticket update inplant ticket update inplant,GRP_0,0
tablet sound not work tablet sound not work,GRP_0,0
unable to login to system unable to login to system,GRP_0,0
please reroute job on printer to printer issue need to be resolve today hi the printer printer be not work and need part replace can reroute the job in queue to printer printer wihuyjdo qpogfwkb have indicate that prqos need new part and not deliver for few day so the inwarehouse tool will need to print on printer for now this need to be take care of today since the inwarehouse tool be print and be pick up by an outside vendor at pm in usa on daily basis please contact enkataramdntyana if have question about the job in queue for today,GRP_5,11
unable to login to hr tool etime unable to login to hr tool etime,GRP_0,0
can not log into hr tool etime through single sign on portal can not log into hr tool etime through single sign on portal,GRP_0,0
password change in password management tool but do not update for erp account password change in password management tool but do not update for erp account,GRP_0,0
job job fail in job scheduler at job job fail in job scheduler at,GRP_6,12
windows password change via password management tool windows password change via password management tool,GRP_0,0
status do not change on telephony software when close call the agent keep on the on acd call status,GRP_A,15
job mm zscr dly merktc fail in job scheduler at job mm zscr dly merktc fail in job scheduler at,GRP_8,13
call for call for,GRP_0,0
vip need password management tool password manager password reset need password management tool password manager password reset,GRP_0,0
reset scm software password hello please reset scm software password global product manager markhtyete initiative,GRP_0,0
account lock out while in office account keep lock out possible reason companysecure or mobile device email setup have an incorrect password store window and network password do not match,GRP_0,0
skype meet good morning have to reset password again and ve lose option for set up skype meeting again can please help can recall how be able to bring back the last time,GRP_0,0
enquiry on impact reward enquiry on impact reward how to get password reset,GRP_0,0
need dn for material plant plant pc thank need dn for material plant plant pc,GRP_6,12
unlock logon password hello please help to unlock company net log on password urgent,GRP_0,0
job mm zscr dly merktc fail in job scheduler at job mm zscr dly merktc fail in job scheduler at,GRP_8,13
job job fail in job scheduler at job job fail in job scheduler at,GRP_8,13
password change require for user abc password change require for user abc,GRP_0,0
issue with outlook best,GRP_0,0
urgent create dlv please help try to create dlv for this mm sto sto sto from plant to plant,GRP_6,12
apac company two switch be down since be et on apac company two switch be down since be et on company ap chn apac company access sw company ap chn apac company access sw,GRP_8,13
error login on to the sid system error login on to the sid system verify user detail employee and manager name user have try the password management tool pwd manager unlock the erp would caller confirm that be able to login issue resolve,GRP_0,0
delivery note can do post good issue n and plant plant to plant the issue display ekpo sobkz ekpo umsok ekpo kzbws ekpo kzvbr note not support check entry,GRP_0,0
job job fail in job scheduler at job job fail in job scheduler at,GRP_9,14
job job fail in job scheduler at job job fail in job scheduler at,GRP_8,13
job job fail in job scheduler at job job fail in job scheduler at,GRP_8,13
job job fail in job scheduler at job job fail in job scheduler at,GRP_8,13
user lock user xyz team please kindly release lock computer for user xyz user name fbmugzrl ahyiuqev,GRP_0,0
dell laptop speaker be not work again and require urgent help laptop speaker be not work again and require urgent help,GRP_0,0
user need help to connect to the wireless connection at home user need help to connect to the wireless connection at home have the user connect to the lan at home connect to the user system use teamviewer check the network setting help the user login to the home wireless disconnect the home lan user confirm that be able to login to the home wireless issue resolve,GRP_0,0
inc ticket update inc ticket update,GRP_0,0
job hr payroll na fail in job scheduler at job hr payroll na fail in job scheduler at,GRP_10,1
job hr payroll na fail in job scheduler at job hr payroll na fail in job scheduler at,GRP_10,1
job hr payroll na fail in job scheduler at job hr payroll na fail in job scheduler at,GRP_10,1
power outage uk al and ave site hard down since at pm et on what type of outage network circuit power please specify what type of outage top cert site yes yes no na when do start pm et on scheduled maintenance power yno yes no na company power provider power schedule maintenance network no yes no na company maint yes no provider maint ticket do site have backup circuit yes yes no na backup circuit active na yes no na site contact notify phone email yes no na remote dial in na yes no na equipment reset na yes no na verified site work on backup circuit na yes no na vendor ticket global telecom verizon telecom vendor telecom vendor global telecom notify gsc yes no na cert start yes no na additional diagnostic,GRP_8,13
power outage germany mx site be hard down since be et what type of outage network circuit power please specify what type of outage top cert site no yes no na when do start be et schedule maintenance power no yes no na company power provider power schedule maintenance network no yes no na company maint yes no provider maint ticket do site have backup circuit no yes no na backup circuit active no yes no na site contact notify phone email yes no na remote dial in yes no na equipment reset yes no na verified site work on backup circuit yes no na vendor ticket global telecom verizon telecom vendor telecom vendor notify gsc yes no na cert start yes no na additional diagnostic,GRP_8,13
job job fail in job scheduler at job job fail in job scheduler at,GRP_6,12
erp sid account lock erp sid account lock,GRP_0,0
user have issue log to outlook user have issue log to outlook rgtry will be available tomorrow around be work out of company campus request to reach out to and fix the issue,GRP_0,0
job bwhrattr fail in job scheduler at job bwhrattr fail in job scheduler at,GRP_9,14
engineering tool drawing original in pdf format be not show hello service need to monitor the manufacturing drawing to approve manufacture the engineering tool stop show pdf original process erp production order interface vendor bas cr rfc destination production order interface vendor view not accessible file can not be stamp now bapireturnederrorexception stack trace cadagent erp conn jco tm jcoerpmanager handlereturnstructureorreturntableline jcoerpmanager java would jcoerpmanager java wt cadagent erp conn jco tm jcoerpmanager handlereturnstructure jcoerpmanager java would jcoerpmanager java wt cadagent erp conn jco tm jcoerpmanager generirtcfunction jcoerpmanager java would jcoerpmanager java wt cadagent objmod plmfile checkoutview plmfile java would plmfile java aju plm omf omforiginalsexport checkoutbapi omforiginalsexport java would omforiginalsexport java rb plm omf omforiginalsexport downloaddocumentoriginals omforiginalsexport java would omforiginalsexport java rb plm omf omforiginalsexport actionperformed omforiginalsexport java would omforiginalsexport java rb cadagent gui obr obrfunctioneventqueue run obrfunctioneventqueue java would obrfunctioneventqueue java bda api bapi document checkoutview be this know problem when will be fix,GRP_A,15
job apo bop plant fail in job scheduler at job apo bop plant fail in job scheduler at,GRP_6,12
job job fail in job scheduler at job job fail in job scheduler at,GRP_9,14
job mm zscr wkly rollfgyuej fail in job scheduler at job mm zscr wkly rollfgyuej fail in job scheduler at,GRP_8,13
unable to open ie unable to open ie,GRP_0,0
job job fail in job scheduler at job job fail in job scheduler at,GRP_8,13
job sid cold fail in job scheduler at job sid cold fail in job scheduler at,GRP_5,11
job sid cold fail in job scheduler at job sid cold fail in job scheduler at,GRP_5,11
job job fail in job scheduler at job job fail in job scheduler at,GRP_5,11
job sid cold fail in job scheduler at job sid cold fail in job scheduler at,GRP_5,11
job job fail in job scheduler at job job fail in job scheduler at,GRP_5,11
job sid cold fail in job scheduler at job sid cold fail in job scheduler at,GRP_5,11
job sid cold fail in job scheduler at job sid cold fail in job scheduler at,GRP_5,11
amssm label sys amssm ef on server be over space consume space available amssm label sys amssm ef on server be over space consume space available g,GRP_12,2
unable to view payslip from hr tool time unable to view payslip from hr tool time,GRP_0,0
password expiry tomorrow system say password expire tomorrow but when want to change to new password do not allow the new password be not accept say server do not authorize kindly check and do the needful as the password be expire tomorrow,GRP_0,0
re ess portal access issue hello be an kiosk user please reset the password and confirm ess portal access issue hi below mention employee krlszbqo spimolgz with user would sv be not able to login to ess portal to access pay slip and related content be attendance tool user please reset user would and password and revert back,GRP_0,0
ess portal access issue hi below mention employee krlszbqo spimolgz with user would sv be not able to login to ess portal to access pay slip and related content be attendance tool user please reset user would and password and revert back,GRP_0,0
job job fail in job scheduler at job job fail in job scheduler at,GRP_9,14
job job fail in job scheduler at job job fail in job scheduler at,GRP_8,13
job job fail in job scheduler at job job fail in job scheduler at,GRP_6,12
job job fail in job scheduler at job job fail in job scheduler at,GRP_9,14
job job fail in job scheduler at job job fail in job scheduler at,GRP_9,14
attendance tool system log on error hello good morning be experience issue with attendance tool log on every time try to log on through single sign portal the following screen get display and stay there appreciate support to fix this issue,GRP_0,0
excel freeze issue excel freeze issue,GRP_0,0
unable to sync file in collaboration platform unable to sync file in collaboration platform,GRP_0,0
unable to update password on the password management tool password manager unable to update password on the password management tool password manager,GRP_0,0
vitalyst transfer reporting tool access query vitalyst transfer reporting tool access query,GRP_0,0
job job fail in job scheduler at job job fail in job scheduler at,GRP_13,3
user say will callback user say will callback,GRP_0,0
unable update password on password management tool unable update password on password management tool,GRP_0,0
erp sid erp production password reset account be lock erp sid erp production password reset account be lock,GRP_0,0
server issue hello have be try to gain access to pay roll information on the hub specifically the hr tool etime portal the other information on the portal come up without problem but the pay stub do not continuously show the search ring,GRP_0,0
ticket update on ticket no ticket update on ticket no,GRP_0,0
unable to display expense report unable to display expense report,GRP_0,0
password reset for upitdmhz owupktcg cruzjc password reset for upitdmhz owupktcg cruzjc,GRP_0,0
unable to login in benefit tab unable to login in benefit tab,GRP_0,0
hello m have an issue with outlook view can call and let share screen hello m have an issue with outlook view can call and let share screen,GRP_0,0
unable to access mail unable to access mail,GRP_0,0
unable to display expense report unable to display expense report,GRP_0,0
mobile device activation pm nwfodmhc exurcwkm se ha bloqueado en forma temporal la sincronizaci de su dispositivo vil mediante exchange activesync hasta que su administrador autorice el acceso hi receive this message and local expert have tell to open ticket,GRP_0,0
internal keybankrd will not work after cs nor will an external usb keybankrd internal keybankrd will not work after cs nor will an external usb keybankrd,GRP_3,9
blank call gso blank call gso,GRP_0,0
update on inplant update on inplant,GRP_0,0
